PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81039,PAD,52,TOTAL,9859
A81039,PC,103,TOTAL,9859
A81039,RA,59,16OV,7916
A81039,STIA,187,TOTAL,9859
A81040,AF,186,TOTAL,8641
A81040,AST,546,TOTAL,8641
A81040,CAN,238,TOTAL,8641
A81040,CHD,356,TOTAL,8641
A81040,CKD,391,18OV,6846
A81040,COPD,221,TOTAL,8641
A81040,CVDPP,45,30_74,4975
A81040,DEM,84,TOTAL,8641
A81040,DEP,1111,18OV,6846
A81040,DM,465,17OV,6936
A81040,EP,58,18OV,6846
A81040,HF,92,TOTAL,8641
A81040,HYP,1304,TOTAL,8641
A81040,LD,26,TOTAL,8641
A81040,MH,65,TOTAL,8641
A81040,OB,974,18OV,6846
A81040,OST,7,50OV,3410
A81040,PAD,63,TOTAL,8641
A81040,PC,89,TOTAL,8641
A81040,RA,61,16OV,7026
A81040,STIA,157,TOTAL,8641
A81041,AF,207,TOTAL,9128
A81041,AST,431,TOTAL,9128
A81041,CAN,293,TOTAL,9128
A81041,CHD,451,TOTAL,9128
A81041,CKD,336,18OV,7442
A81041,COPD,358,TOTAL,9128
A81041,CVDPP,65,30_74,5237
A81041,DEM,103,TOTAL,9128
A81041,DEP,485,18OV,7442
A81041,DM,550,17OV,7546
A81041,EP,79,18OV,7442
A81041,HF,91,TOTAL,9128
A81041,HYP,1710,TOTAL,9128
A81041,LD,57,TOTAL,9128
A81041,MH,79,TOTAL,9128
A81041,OB,1372,18OV,7442
A81041,OST,7,50OV,3950
A81041,PAD,52,TOTAL,9128
A81041,PC,88,TOTAL,9128
A81041,RA,66,16OV,7649
A81041,STIA,178,TOTAL,9128
A81042,AF,185,TOTAL,10791
A81042,AST,629,TOTAL,10791
